"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"4.72","0.00","0","0.72","0.00","1.96","0","0.84","0","8.24","16.24","0.00","0","0.00","0.00","3.80","0","&","","6.00","0","26.04","24.44","0.00","0","0.64","0.00","24.16","0","3.44","0","52.68","20.52","0.00","0","4.56","&","","0.00","14.36","0","0.48","0","39.92","24.84","0","0","1.52","0.00","16.44","0","0.16","0","42.96","37.56","&","","0.00","0","0.92","0.00","2.48","0","0.08","0","41.04","76.52","0.00","0","0.00","0","22.08","0","0.36","0","&","98.96","204.84","0.00","0","8.36","0.00","85.28","0","11.36","0","309.84","","","","","","","",""
"7.44","1.00","0","1.96","0.00","2.68","0","1.36","0","14.44","15.00","0.56","0","0.84","0.00","2.12","0","&","","4.88","0","23.40","29.96","0.36","0","3.56","0.00","54.60","0","3.40","0","91.88","25.72","0.00","0","26.44","&","","0.00","13.44","0","1.08","0","66.68","15.08","0","0","25.44","0.00","0.40","0","0.00","0","40.92","19.12","&","","6.40","0","5.00","0.00","4.20","0","0.04","0","34.76","59.76","8.52","0","3.80","0","13.12","0","0.40","0","&","85.60","172.08","16.84","0","67.04","0.00","90.56","0","11.16","0","357.68","","","","","","","",""
"6.80","0.00","0","0.32","0.00","1.72","0","0.60","0","9.44","14.60","0.00","0","0.00","0.00","0.00","0","&","","6.16","0","20.76","30.64","0.00","0","3.48","0.00","59.52","0","4.12","0","97.76","24.32","0.00","0","4.56","&","","0.00","25.84","0","0.36","0","55.08","13.28","0","0","35.28","0.00","0.92","0","0.04","0","49.52","30.40","&","","0.00","0","1.80","0.00","14.84","0","0.04","0","47.08","64.92","0.04","0","0.28","0","31.20","0","0.52","0","&","96.96","184.96","0.04","0","45.72","0.00","134.04","0","11.84","0","376.60","","","","","","","",""
"6.12","0.00","0","0.76","0.00","5.44","0","0.48","0","12.80","12.00","0.00","0","0.52","0.00","0.00","0","&","","7.16","0","19.68","34.12","0.00","0","1.20","0.00","53.08","0","6.96","0","95.36","23.12","0.00","0","7.16","&","","0.00","17.92","0","1.12","0","49.32","16.48","0","0","22.88","0.00","0.44","0","0.00","0","39.80","28.44","&","","0.00","0","2.32","0.00","3.24","0","0.04","0","34.04","75.96","0.00","0","0.48","0","40.44","0","0.48","0","&","117.36","196.24","0.00","0","35.32","0.00","120.56","0","16.24","0","368.36","","","","","","","",""
"4.92","0.12","0","0.44","0.04","1.52","0","0.80","0","7.84","15.48","0.00","0","0.40","0.00","0.00","0","&","","5.20","0","21.08","25.24","0.00","0","0.00","0.00","35.36","0","5.64","0","66.24","26.08","0.04","0","1.56","&","","0.00","13.68","0","0.88","0","42.24","17.80","0","0","3.00","0.00","0.60","0","0.08","0","21.48","35.64","&","","1.44","0","1.00","0.00","11.12","0","0.08","0","49.28","59.20","2.28","0","0.08","0","58.28","0","0.60","0","&","120.44","184.36","3.88","0","6.48","0.04","120.56","0","13.28","0","328.60","","","","","","","",""
"6.60","2.00","0","0.20","0.00","11.08","0","0.80","0","20.68","10.28","1.84","0","0.00","0.00","17.56","0","&","","3.84","0","33.52","25.56","1.16","0","1.08","0.00","61.04","0","5.24","0","94.08","18.72","0.00","0","4.08","&","","0.00","49.00","0","0.92","0","72.72","10.68","0","0","5.24","0.00","4.76","0","0.16","0","20.84","17.16","&","","11.24","0","0.76","0.00","2.76","0","0.12","0","32.04","42.64","10.88","0","0.88","0","30.76","0","0.40","0","&","85.56","131.64","27.12","0","12.24","0.00","176.96","0","11.48","0","359.44","","","","","","","",""
"5.04","0.00","0","0.00","0.12","3.64","0","0.52","0","9.32","9.20","0.00","0","0.00","0.08","2.04","0","&","","5.76","0","17.08","23.20","0.00","0","1.40","0.00","17.80","0","6.60","0","49.00","22.24","0.00","0","6.60","&","","0.00","8.96","0","0.96","0","38.76","20.84","0","0","35.76","0.00","1.20","0","0.00","0","57.80","36.92","&","","0.00","0","2.84","0.12","1.28","0","0.08","0","41.24","71.64","0.00","0","0.00","0","46.00","0","0.36","0","&","118.00","189.08","0.00","0","46.60","0.32","80.92","0","14.28","0","331.20","","","","","","","",""
"4.92","0.00","0","0.00","0.48","5.16","0","0.76","0","11.32","10.28","0.00","0","0.00","0.32","1.96","0","&","","5.12","0","17.68","20.68","0.00","0","0.00","1.32","24.44","0","3.40","0","49.84","0.00","0.00","0","0.00","&","","0.00","0.00","0","0.00","0","0.00","20.60","0","0","1.76","0.56","0.32","0","0.04","0","23.28","34.12","&","","0.00","0","1.68","1.48","0.56","0","0.00","0","37.84","57.24","0.00","0","0.88","0","12.92","0","0.24","0","&","71.28","147.84","0.00","0","4.32","4.16","45.36","0","9.56","0","211.24","","","","","","","",""
"4.52","0.00","0","0.00","0.72","2.08","0","0.92","0","8.24","10.04","0.00","0","0.52","0.36","3.68","0","&","","5.64","0","20.24","17.68","0.00","0","0.00","0.96","36.32","0","3.80","0","58.76","15.96","0.00","0","0.08","&","","1.08","21.40","0","0.48","0","39.00","20.64","0","0","0.48","11.16","4.12","0","0.00","0","36.40","35.68","&","","0.04","0","0.48","6.88","2.36","0","0.28","0","45.72","52.20","0.08","0","0.48","0","22.84","0","0.52","0","&","76.12","156.72","0.12","0","2.04","21.16","92.80","0","11.64","0","284.48","","","","","","","",""
"5.48","0.00","0","0.32","0.16","3.88","0","0.68","0","10.52","12.04","0.00","0","0.04","0.00","6.24","0","&","","5.28","0","23.60","18.40","0.00","0","4.48","0.60","43.28","0","3.56","0","70.32","20.84","0.00","0","3.56","&","","0.44","44.48","0","0.60","0","69.92","22.60","0","0","12.48","4.60","4.08","0","0.12","0","43.88","37.00","&","","0.00","0","4.00","4.00","1.24","0","0.04","0","46.28","74.88","0.12","0","1.32","0","135.12","0","0.48","0","&","211.92","191.24","0.12","0","26.20","9.80","238.32","0","10.76","0","476.44","","","","","","","",""
"5.66","0.31","0","0.47","0.15","3.92","0","0.78","0","11.29","12.52","0.24","0","0.23","0.08","3.74","0","&","","5.50","0","22.31","24.99","0.15","0","1.58","0.29","40.96","0","4.62","0","72.59","19.75","0.00","0","5.86","&","","0.15","20.91","0","0.69","0","47.36","18.28","0","0","14.38","1.63","3.33","0","0.06","0","37.68","31.20","&","","1.91","0","2.08","1.25","4.41","0","0.08","0","40.93","63.50","2.19","0","0.82","0","41.28","0","0.44","0","&","108.23","175.90","4.80","0","25.42","3.55","118.55","0","12.17","0","340.39","","","","","","","",""
"1.01","0.67","0","0.59","0.25","2.88","0","0.25","0","5.65","2.60","0.59","0","0.31","0.14","5.25","0","&","","0.88","0","9.77","5.37","0.37","0","1.66","0.49","15.74","0","1.38","0","25.01","7.61","0.01","0","7.63","&","","0.35","15.31","0","0.36","0","31.27","4.42","0","0","14.23","3.64","4.93","0","0.07","0","27.29","7.50","&","","3.84","0","1.49","2.36","4.72","0","0.08","0","19.99","11.34","4.06","0","1.13","0","35.96","0","0.10","0","&","52.59","39.85","9.54","0","27.04","7.23","84.79","0","3.12","0","68.50","","","","","","","",""
